x,y,layer1,layer2,voltage1,voltage2,current
3862.44,1255.67,INTERNALPLANE1,INTERNALPLANE2,0.0198879,0.0192264,0.377008
3862.44,1255.67,INTERNALPLANE2,BOTTOMLAYER,0.0192264,0.0191755,0.377008
3931.37,3449.2,TOPLAYER,INTERNALPLANE1,11.9365,11.9365,-7.4802e-10
3931.37,3449.2,INTERNALPLANE1,INTERNALPLANE2,11.9365,11.9365,-7.4802e-10
3931.37,3449.2,INTERNALPLANE2,BOTTOMLAYER,11.9365,11.9365,-7.4802e-10
3931.37,3614.56,TOPLAYER,INTERNALPLANE1,11.9365,11.9365,-1.66227e-10
3931.37,3614.56,INTERNALPLANE1,INTERNALPLANE2,11.9365,11.9365,-5.754e-11
3931.37,3614.56,INTERNALPLANE2,BOTTOMLAYER,11.9365,11.9365,-8.31133e-11
3931.37,3779.91,TOPLAYER,INTERNALPLANE1,11.9365,11.9365,-8.31133e-11
3931.37,3779.91,INTERNALPLANE1,INTERNALPLANE2,11.9365,11.9365,1.918e-11
3931.37,3779.91,INTERNALPLANE2,BOTTOMLAYER,11.9365,11.9365,-0
